2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.068, 0.662, 9.205, -2.885, -1.908, -0.473
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.023, 0.669, 9.176, -2.916, -1.908, -0.366
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.091, 0.660, 9.123, -2.748, -1.939, -0.427
2024-05-31-13:20:03, 4732.178, 2135.549, 9.3, 0.053, 0.602, 9.146, -2.702, -1.924, -0.412
2024-05-31-13:20:04, 4732.178, 2135.549, 9.3, 0.081, 0.602, 9.171, -2.779, -1.908, -0.290
2024-05-31-13:20:04, 4732.178, 2135.549, 9.3, 0.043, 0.634, 9.149, -2.763, -1.847, -0.382
2024-05-31-13:20:04, 4732.178, 2135.549, 9.3, 0.069, 0.607, 9.125, -2.840, -1.985, -0.443
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.047, 0.649, 9.160, -2.733, -2.000, -0.412
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.061, 0.622, 9.151, -2.931, -1.954, -0.397
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.075, 0.591, 9.164, -2.733, -2.000, -0.397
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.030, 0.602, 9.147, -2.809, -1.939, -0.519
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.068, 0.606, 9.118, -2.840, -1.939, -0.382
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.090, 0.639, 9.112, -2.809, -1.908, -0.366
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.025, 0.645, 9.135, -2.794, -1.908, -0.397
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.051, 0.617, 9.098, -2.763, -1.832, -0.458
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.037, 0.619, 9.136, -2.916, -1.954, -0.336
2024-05-31-13:20:04, 4732.178, 2135.549, 2.2, 0.011, 0.648, 9.200, -2.962, -1.969, -0.351
2024-05-31-13:20:04, 4732.179, 2135.550, 9.3, 0.048, 0.615, 9.149, -2.870, -1.908, -0.519
2024-05-31-13:20:04, 4732.179, 2135.550, 9.3, 0.080, 0.578, 9.130, -2.809, -1.954, -0.412
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.018, 0.614, 9.117, -2.870, -2.107, -0.397
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.066, 0.578, 9.141, -2.885, -1.985, -0.351
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.097, 0.628, 9.149, -2.794, -2.015, -0.489
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.044, 0.603, 9.139, -2.794, -1.954, -0.427
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.068, 0.636, 9.164, -2.779, -1.969, -0.336
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.074, 0.638, 9.149, -2.687, -1.847, -0.397
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.029, 0.612, 9.127, -2.885, -1.939, -0.443
2024-05-31-13:20:05, 4732.179, 2135.550, 9.3, 0.095, 0.662, 9.175, -2.779, -1.863, -0.351
2024-05-31-13:20:05, 4732.179, 2135.550, 2.8, 0.063, 0.655, 9.154, -2.855, -1.863, -0.458
2024-05-31-13:20:05, 4732.179, 2135.550, 2.8, 0.066, 0.643, 9.175, -2.748, -2.076, -0.290
2024-05-31-13:20:05, 4732.179, 2135.550, 2.8, 0.057, 0.642, 9.090, -2.748, -1.878, -0.412
2024-05-31-13:20:05, 4732.179, 2135.550, 2.8, 0.038, 0.627, 9.130, -2.809, -2.000, -0.366
2024-05-31-13:20:05, 4732.178, 2135.549, 9.3, 0.074, 0.624, 9.124, -2.870, -1.985, -0.382
2024-05-31-13:20:05, 4732.178, 2135.549, 9.3, 0.047, 0.622, 9.161, -2.779, -1.969, -0.443
2024-05-31-13:20:06, 4732.178, 2135.549, 9.3, 0.065, 0.912, 9.152, -2.809, -1.924, -0.366
2024-05-31-13:20:06, 4732.178, 2135.549, 9.3, 0.079, 0.644, 9.191, -2.718, -1.924, -0.351
2024-05-31-13:20:06, 4732.178, 2135.549, 9.3, 0.036, 0.655, 9.102, -2.763, -2.015, -0.458
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.040, 0.620, 9.130, -2.779, -1.847, -0.397
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.056, 0.617, 9.133, -2.855, -1.939, -0.321
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.103, 0.657, 9.116, -2.840, -1.954, -0.443
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.053, 0.636, 9.124, -2.763, -1.969, -0.397
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.072, 0.637, 9.157, -2.824, -1.878, -0.351
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.080, 0.655, 9.166, -2.885, -1.939, -0.397
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.063, 0.602, 9.135, -2.779, -1.939, -0.366
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.081, 0.650, 9.133, -2.916, -1.954, -0.382
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.031, 0.618, 9.178, -2.855, -1.939, -0.519
2024-05-31-13:20:06, 4732.178, 2135.549, 1.6, 0.051, 0.637, 8.905, -2.809, -1.832, -0.473
2024-05-31-13:20:06, 4732.178, 2135.549, 9.3, 0.066, 0.633, 9.139, -2.840, -1.954, -0.473
2024-05-31-13:20:07, 4732.178, 2135.549, 9.3, 0.024, 0.607, 9.096, -2.763, -1.924, -0.443
2024-05-31-13:20:07, 4732.178, 2135.549, 9.3, 0.034, 0.617, 9.139, -2.748, -1.985, -0.427
2024-05-31-13:20:07, 4732.178, 2135.549, 9.3, 0.074, 0.621, 9.118, -2.870, -1.985, -0.275
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.051, 0.587, 9.173, -2.794, -1.985, -0.458
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.049, 0.631, 9.187, -3.038, -1.863, -0.321
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.085, 0.656, 9.165, -2.901, -2.076, -0.443
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.080, 0.642, 9.165, -2.687, -1.939, -0.412
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.085, 0.645, 9.157, -2.824, -2.031, -0.397
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.067, 0.320, 9.104, -2.779, -1.847, -0.382
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.068, 0.608, 9.190, -2.733, -1.954, -0.336
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.099, 0.633, 9.140, -2.779, -1.969, -0.412
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.032, 0.618, 9.106, -2.870, -1.878, -0.427
2024-05-31-13:20:07, 4732.178, 2135.549, 1.0, 0.049, 0.627, 9.078, -2.809, -1.863, -0.305
2024-05-31-13:20:07, 4732.179, 2135.550, 9.3, 0.040, 0.631, 9.121, -2.748, -1.924, -0.366
2024-05-31-13:20:07, 4732.179, 2135.550, 9.3, 0.072, 0.306, 9.193, -2.656, -1.832, -0.458
2024-05-31-13:20:08, 4732.179, 2135.550, 9.3, 0.062, 0.601, 9.147, -2.824, -1.893, -0.412
2024-05-31-13:20:08, 4732.179, 2135.550, 9.3, 0.057, 0.617, 9.125, -2.779, -1.878, -0.397
2024-05-31-13:20:08, 4732.179, 2135.550, 2.9, 0.075, 0.674, 9.142, -2.733, -1.817, -0.366
2024-05-31-13:20:08, 4732.179, 2135.550, 2.9, 0.029, 0.636, 9.193, -2.763, -1.969, -0.443
2024-05-31-13:20:08, 4732.179, 2135.550, 2.9, 0.037, 0.611, 9.255, -2.763, -1.786, -0.519
